Region,Code,Year,Coverage
Latin America and Caribbean,,2000,10.05315781
Latin America and Caribbean,,2001,12.64612293
Latin America and Caribbean,,2002,15.01385689
Latin America and Caribbean,,2003,17.89043808
Latin America and Caribbean,,2004,20.18951607
Latin America and Caribbean,,2005,22.93013382
Latin America and Caribbean,,2006,26.75677681
Latin America and Caribbean,,2007,29.39193535
Latin America and Caribbean,,2008,32.2246933
Latin America and Caribbean,,2009,35.03425598
Latin America and Caribbean,,2010,38.12112808
Latin America and Caribbean,,2011,40.70339584
Latin America and Caribbean,,2012,43.54109192
Latin America and Caribbean,,2013,46.09074402
Latin America and Caribbean,,2014,48.46995926
Latin America and Caribbean,,2015,52.04989624
Latin America and Caribbean,,2016,54.94169235
Latin America and Caribbean,,2017,56.63695145
Latin America and Caribbean,,2018,58.70217896
Latin America and Caribbean,,2019,62.25700378
Latin America and Caribbean,,2020,65.60421753
Middle East and North Africa,,2000,3.125821114
Middle East and North Africa,,2001,3.387221098
Middle East and North Africa,,2002,3.451650143
Middle East and North Africa,,2003,4.178496838
Middle East and North Africa,,2004,4.842506886
Middle East and North Africa,,2005,5.117350101
Middle East and North Africa,,2006,6.488749027
Middle East and North Africa,,2007,7.010878563
Middle East and North Africa,,2008,8.13632679
Middle East and North Africa,,2009,9.867498398
Middle East and North Africa,,2010,11.45103455
Middle East and North Africa,,2011,13.48703289
Middle East and North Africa,,2012,16.47975159
Middle East and North Africa,,2013,19.48059845
Middle East and North Africa,,2014,23.62401009
Middle East and North Africa,,2015,27.4226532
Middle East and North Africa,,2016,32.46407318
Middle East and North Africa,,2017,37.48340988
Middle East and North Africa,,2018,42.85330582
Middle East and North Africa,,2019,45.71972656
Middle East and North Africa,,2020,47.88240814
South Asia,,2000,0
South Asia,,2001,0.000168305
South Asia,,2002,0.000678022
South Asia,,2003,0.001211394
South Asia,,2004,0.003201528
South Asia,,2005,0.999898374
South Asia,,2006,1.99159205
South Asia,,2007,3.974000692
South Asia,,2008,7.898380756
South Asia,,2009,10.80384636
South Asia,,2010,14.68678951
South Asia,,2011,18.52272797
South Asia,,2012,23.26062965
South Asia,,2013,29.82699585
South Asia,,2014,32.66641617
South Asia,,2015,36.24630737
South Asia,,2016,41.79775238
South Asia,,2017,48.19675064
South Asia,,2018,51.83837128
South Asia,,2019,59.10514832
South Asia,,2020,59.66278076
Sub-Saharan Africa,,2000,0
Sub-Saharan Africa,,2001,0.079230018
Sub-Saharan Africa,,2002,0.380233675
Sub-Saharan Africa,,2003,0.749375999
Sub-Saharan Africa,,2004,1.866751313
Sub-Saharan Africa,,2005,3.627506971
Sub-Saharan Africa,,2006,6.231666088
Sub-Saharan Africa,,2007,10.02359486
Sub-Saharan Africa,,2008,14.35850239
Sub-Saharan Africa,,2009,18.66568184
Sub-Saharan Africa,,2010,23.51126862
Sub-Saharan Africa,,2011,28.74990654
Sub-Saharan Africa,,2012,34.70789337
Sub-Saharan Africa,,2013,40.00831604
Sub-Saharan Africa,,2014,45.89569092
Sub-Saharan Africa,,2015,50.89196396
Sub-Saharan Africa,,2016,56.47369003
Sub-Saharan Africa,,2017,61.9900856
Sub-Saharan Africa,,2018,65.41560364
Sub-Saharan Africa,,2019,71.0045166
Sub-Saharan Africa,,2020,76.3306427
World,OWID_WRL,2000,2
World,OWID_WRL,2001,3
World,OWID_WRL,2002,3
World,OWID_WRL,2003,4
World,OWID_WRL,2004,5
World,OWID_WRL,2005,7
World,OWID_WRL,2006,9
World,OWID_WRL,2007,13
World,OWID_WRL,2008,17
World,OWID_WRL,2009,21
World,OWID_WRL,2010,25
World,OWID_WRL,2011,30
World,OWID_WRL,2012,35
World,OWID_WRL,2013,40
World,OWID_WRL,2014,44
World,OWID_WRL,2015,49
World,OWID_WRL,2016,55
World,OWID_WRL,2017,60
World,OWID_WRL,2018,63
World,OWID_WRL,2019,69
World,OWID_WRL,2020,73
